Function,rlde_best,rlde_worst,rlde_mean,rlde_std,rlde_median,de_best,de_worst,de_mean,de_std,de_median,jade_best,jade_worst,jade_mean,jade_std,jade_median,lshade_best,lshade_worst,lshade_mean,lshade_std,lshade_median,shade_best,shade_worst,shade_mean,shade_std,shade_median
F1,1.083876887471921e-22,2.6482012626022955e-14,1.9216893422576635e-15,5.577080357743086e-15,9.156268552185588e-18,1.2039711264923073e-21,6.943576846174653e-20,1.934283315637559e-20,1.4712026658913446e-20,1.6377774148346902e-20,0.0,1.7209254630151455e-14,5.736418210050485e-16,3.089155746376937e-15,0.0,0.0,4042508904.059447,134750296.80198157,725652556.0889602,0.0,0.0,0.0,0.0,0.0,0.0
F2,0.0,1.2185312390197017e-25,5.787948231523578e-27,2.2892978173167852e-26,5.811211350851745e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5895.0077195624635,196.5002573187488,1058.1862703058005,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0033328119532278276,6.472803153762069,3.6551959257295064,1.9926273046770806,4.192035484884806,1.432533116859984e-20,3.986579112347139,3.189263289877711,1.594631644938855,3.9865791123471377,0.0,3.9865791123471372,2.3919474674082832,1.953016928897596,3.9865791123471372,0.0,3.9865791123471372,3.056377319466139,1.6861339396051023,3.9865791123471372,0.0,3.9865791123471372,2.3919474674082823,1.9530169288975956,3.9865791123471372
F4,3.979836228373159,18.904206971315293,9.219947376870488,4.053220903478123,7.959672456746329,17.728693816514163,32.027764325243325,24.754774569585987,3.2591271048919683,24.37048039779831,1.4231039792526605,6.064049743528631,4.249322849055973,1.026986361096364,4.5310665379424035,0.031362765208184484,3.008826571882379,1.478904436897592,0.7559701624034703,1.0294026286119138,1.342189653554998,4.816436541066002,3.3590333524840643,0.8736420571225543,3.486199137939521
F5,7.558916073704446e-33,0.00018182148050543083,7.302590059369794e-06,3.265278965870205e-05,7.417041313673464e-12,0.0,7.4997748878795946e-37,2.4999249626265314e-38,1.3462507929213441e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,614.2325918301516,629.4702264499774,620.0856364889788,3.3932092236899325,619.6395311221804,620.736272552982,640.7890932545672,634.4461452080111,3.8876216019061776,635.1981140987466,612.963296572441,616.5750478447785,614.8780453664892,1.0468051339178364,614.9266824044869,611.203927758242,612.4922420044994,611.6149159470236,0.269879485610743,611.5467167512297,612.047014126595,614.953962441048,613.3754983188735,0.7191526701147398,613.3110214629019
F7,10.0,30.0,19.733333333382166,4.7253453724447665,20.0,38.0,72.0,56.6,7.8680789692698605,56.0,28.000798866661654,82.0,61.86671455254872,13.032513749939998,72.0,14.0,72.0,41.266666666666666,13.880281777479238,40.0,41.89712219139525,82.0,64.32990407349364,9.955353846419312,68.0
F8,1.4997597826618576e-32,3.4752895321887737e-28,1.696049896560936e-29,6.353483172037364e-29,4.632099223593482e-31,1.1604532106739112,2.2481577486883406,1.8568606136294785,0.3191327704546671,2.0691012478554587,2.0691012478554587,2.3376859991047816,2.1377395731747297,0.06407510189034213,2.1586294982718996,1.4997597826618576e-32,2.2481577486883406,1.6580425144146291,0.7596574430596043,2.0691012478554587,2.1586294982718996,2.3376859991047816,2.2720319487993916,0.04584530266669077,2.2481577486883406
F9,18.659446554650458,705.5036245736451,299.01317712911623,190.51551958702248,267.8514360323443,0.43718109106521297,1348.453906035491,546.4123706572954,322.71811692519356,509.686513668139,436.56421316026626,1919.6195045246054,1248.792339492496,370.7724182706304,1170.9287128144424,0.45594005344901234,1741.888670939487,631.0485876454375,491.0953170177652,752.5644932680248,123.0380662534144,1919.6195045246054,1352.8819924910345,495.01255813704813,1386.799497429361
F10,0.9949602396164453,23.881052675656203,8.796158392851238,6.1566608636758176,6.333981573644787,3.191824275505436e-07,2.556697259897692,0.16680756102692962,0.5079047391568284,0.0006576426279575347,1.4753290903723686,73.87950337636912,46.51709885569906,18.25693366257531,51.90152889718256,0.0,15.616963775979679,0.643946412880324,2.858613427628438,0.0,0.9366525183190308,72.25873424023482,22.325982757283665,26.416407149109013,1.7651421246771815
F11,8.68426740404515,33476.38264353119,2271.159650139093,6090.906192767706,622.9497232684032,5.302521383257875e-12,0.20814298523667182,0.13876198995718686,0.09811954377599211,0.20814298465705935,1.1553427778478495e-19,218.39770832970228,14.684426978392253,54.30459008162328,0.2081429846455194,8.582325074835932e-23,217.3478123752186,14.600863750158851,54.15868271396394,0.2081429846455194,1.1580632489476504e-15,0.2081429846455207,0.17345248720459988,0.07757031045117889,0.20814298464551942
F12,2.9849972034268784,24.854813627145273,11.521756232950143,5.289459274313504,9.964549542785686,6.02571239531861,32.29667471730289,8.695924156611595,5.680275684621681,7.1944289202008775,4.090149613526589,7.796232579770061,4.591785124116833,0.9130402143731985,4.0956592074570235,0.001577935569155602,8.241994011976832,4.497818893749213,1.2582497501191763,4.36158312334492,4.452971529697146,7.394465159035317,5.516306846863352,0.5684913595586577,5.484825954633779
F13,12.420502719463277,42.876794032892676,27.042269675395953,6.29991722013012,25.968579627947793,15.395804811205814,29.938618865645815,25.72224049220461,3.057409209785526,26.508038761934607,0.6952024926058281,24.99435581950482,17.01174535309391,7.546967754514599,21.055187517996703,5.6393341841433555e-15,20.57599256457013,5.728694174471112,8.082287156314308,1.1712515383413544,5.769048810763422,24.43551530262841,20.915240773260084,3.7639739043010936,21.695740185079863
F14,0.13515492235743748,726.397495105665,58.544429469121084,135.56870926348415,9.014506415859405,0.0009223017557721023,0.4967241062307561,0.06910857161993061,0.14815837993326372,0.008730366264244236,0.03978178683510015,1.0750979430925158,0.640607406511187,0.22570277495955593,0.6319242831586449,0.0007555368805934236,6080515.126678875,235028.09771366516,1099348.8455832798,0.47273226114147204,0.2531389535305294,0.9618563557846733,0.6543803513158727,0.163071049449671,0.6647526388745622
F15,0.019596332232252392,435.92788152499827,88.69704565174358,165.3535148664914,1.0502755809620994,0.004890416635006815,0.7111992173883822,0.21248555109342415,0.16287341066575087,0.21385204391014878,0.08343334221940744,445.3061306912542,27.50690352542897,88.47498108896207,0.30923972481972883,0.00601519544817906,8268.8493920194,275.89511121378564,1484.2543612937277,0.23483305333587917,0.04401437854706314,573.8642370626537,96.47324824460311,185.14569087654806,0.33870348214335544
F16,22.11816408736856,440.50291942317114,52.87332497363302,88.29668202306532,24.814000010818134,1.2100241318847056,237.80026723062582,26.16298408557156,39.68541205636856,19.575865809672646,8.867973432831839,24.60051416997091,18.333368714595046,5.180744504729237,20.59913450820369,3.250411846161872,419.17436853199507,35.518174450679076,81.10052538891114,20.748748489237432,16.922623410418048,641.8387421045912,98.54200910112787,173.56665240207292,22.299322444585712
F17,9.114142363483243,74.49121194616077,25.12910920977625,11.748327388344123,21.789574720940728,0.000693299477911296,0.47033258698408886,0.059495482971827406,0.12320641564570362,0.004285154325072435,0.002029540163123246,20.51941118624651,6.064864555645406,8.738736502948043,0.49983141206754356,6.146382805116199e-05,137147.27739852213,4719.952754919634,24597.024887546784,0.48426150684293107,0.022694985476180582,20.5792313092003,10.718267023167027,9.85556373795488,14.22051319925578
F18,0.19537106113280078,3.3071592855786633,1.5826984018001131,0.7671667059420407,1.6421763246190997,0.44867250235629874,1.427090608503109,1.072110481910979,0.2500729131876638,1.124991636393251,0.49495936298898435,1.958673010768328,1.1231317243685193,0.2799311635361077,1.1015521163656556,0.09498963325539972,0.5520894005128363,0.3487282026386308,0.11140210899003754,0.35041324643162963,0.7251759763173781,1.9078832457119952,1.3858203600414638,0.2716544952352192,1.4248708676387136
F19,1.3021059540293722,81.06865508647701,26.626563551569237,20.37558082535863,22.35878248244196,1.8549994913195051,37.203058729898046,21.440249177493232,7.058488719116708,22.600360750808477,0.7925284071862785,4.589235415344124,1.857335929395952,0.7068122991093314,1.7425113154909084,0.6910026232471465,120.0623431543963,5.860974690693113,21.309067128702065,1.625696405581674,0.8426509941958965,2.3375621316791286,1.453357348272537,0.3869148135670056,1.424816991568713
F20,100.0,100.00000000000021,100.00000000000001,4.286875744412088e-14,100.0,100.0,230.46391600799092,108.66714778215224,32.429711908000264,100.0,100.0,208.16563746050917,135.15595788145095,49.723740812793494,100.0,100.0,1992.6293814286078,312.13463834976096,404.0238238330513,100.0,100.0,205.21568063367468,151.73035023700712,51.73344144817178,150.84210082205044
F21,100.00000000000001,105.55312889666496,100.96827135067524,1.4068242286363086,100.00000000000001,100.0,100.00000000000001,100.0,7.78360568894479e-15,100.0,100.0,800.9203279322749,333.2718148735399,190.9614415614237,309.2199522851387,100.0,133.3035522879041,101.91940815047141,6.288390703822131,100.0,100.0,1249.6968937743825,544.5488611572302,380.1181353716095,554.6237972614713
F22,100.0,200.0,126.66666666666674,44.22166387140529,100.0,100.0,200.0,103.33333333333333,17.950549357115015,100.0,100.0,200.0,136.66666666666666,48.189440982669865,100.0,100.0,1637.4365372258903,242.9026817234115,386.21649399428827,100.0,100.0,200.0,130.0,45.8257569495584,100.0
F23,100.00000000000159,310.01583274824304,200.33386109160827,27.141689678693172,200.0,100.0,200.0,116.66666666666667,37.2677996249965,100.0,100.0,100.0,100.0,0.0,100.0,100.0,200.0,113.33333333333333,33.993463423951894,100.0,100.0,200.0,103.33333333333333,17.950549357115015,100.0
F24,476.0755704849257,507.6798035191653,483.33991051084547,10.781099339247346,479.8291142503748,479.6390660514712,506.85854602843017,505.8950135630293,4.87563298045548,506.790180055478,475.8681058805345,506.80793300176254,495.5271986377795,13.836410902887886,506.7901800639733,475.57180387587107,506.81622059732604,481.5001903565025,8.522293463344798,479.2203646866798,475.762818379984,609.8795594824675,507.7390776575013,26.41603914882324,506.7959966869896
F25,457.50022867288243,467.6305731511638,466.2228546903641,3.074784268435071,467.27046618758357,9.737845308015943e-26,467.5904072887744,15.586346909625812,83.93504684950656,9.737845308015943e-26,9.737845308015943e-26,467.27046618758345,15.575682206252782,83.87761566422357,9.737845308015943e-26,9.737845308015943e-26,499.97850478563,347.4366284800356,209.68984974470322,469.18230903897506,9.737845308015943e-26,662.4252097737938,161.34281756398383,250.05892691715408,9.737845308015943e-26
F26,389.51387353732287,398.5753792535901,392.0087858902453,2.729168655907591,390.51703257983417,389.51387350295875,397.9605993557677,394.2268405830019,2.6272094327948214,395.5935186018103,389.51387350295875,766.9385479786959,426.02192922984256,99.1236190635627,395.5935186018103,389.51387350295875,431.04061486813987,398.3479655429549,9.37489232969875,397.9407415783081,389.51387350295875,644.9766449781629,424.82364370388945,73.18745834997308,390.0154530413964
F27,4.440892098500626e-15,422.78034640194477,80.3557463295693,126.93457782155073,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15,4.440892098500626e-15,504.6165703255375,230.66757478265885,224.29217750190952,276.66204527483467,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15
F28,994.2290330057779,13327.370845995007,1848.3439168374996,2457.8870978731193,1128.7315317086461,978.5543530689704,1042.4127737160354,994.7470779106542,25.62775159783529,980.6067260281959,5.672436049324969,1086.857539992846,995.9433300662444,186.1588251747557,1043.8675632853613,979.952124943557,116705.21138248328,18558.035764591747,38110.844624265286,988.517169626248,5.119052282710839,1101.154338342849,925.0864698650165,304.0873019683675,1028.2967920741225
F29,4727.583543411378,42818.84202678364,13786.138184897278,8803.225370020395,11786.774466813498,1377.2911960383908,3158.2711454766113,1555.8031402299239,534.1329290577813,1377.6575969293203,7.424401893074706,3158.124151734796,1554.3981859403414,597.7059985225732,1385.5755271212242,1377.243888598838,41798139.79913517,8896913.299681215,14021585.439864745,2439.458986629158,5.428499178993632,3173.7658603371383,1754.093731804536,729.1716015119628,1515.0307149295822
